,ChTaubira,MLP_officiel,dupontaignan,jeanlassalle,JLMelenchon,yjadot,Fabien_Roussel,AnasseKazib,ZemmourEric,UPR_Asselineau,vpecresse,Anne_Hidalgo,n_arthaud,EmmanuelMacron,f_philippot,HeleneThouy
0,cht,mlp,nicolas,lassalle,insoumission,ecologiste,roussel,camarade,reconquete,upr,francilien,hidalgo,arthaud,virus,veran,animal
1,taubira,invite,reagir,bonjour,rendez,ecologie,salarie,incroyable,eric,media,region,reunir,travailleur,convention,cnew,chasse
2,christiane,off,peine,maternite,exemple,tiktok,fabien,mdr,emmanuel,macron,amp,anne,capitaliste,ensemble,video,animalist
3,penal,elue,retrouver,ami,programme,signer,communiste,lol,chronique,asselineau,ile,rolland,ouvrier,issue,covid,henry
4,experience,bardella,yerres,communication,blog,climat,amand,parrainage,racaille,06,valerie,paris,bourgeois,declaration,covidiste,parti
5,accompagner,aliot,dupont,kilometre,vou,climatique,matinale,greve,youtube,renvoyer,bravo,concitoyen,imperialisme,nation,ue,viande
6,parquet,emmanuel,aignan,facebook,populaire,orphelin,pcf,kazib,rural,l,pecresse,transition,patronat,continuer,philippot,julien
7,gouv,islamiste,controle,intervention,luc,yannick,taux,zemmour,puissance,refuser,regional,aboutir,gvt,live,lespatriotes,elevage
8,opprime,communique,purificateur,jean,guette,replay,liberal,anasse,napoleon,otan,municipal,sandler,bourgeoisie,reculer,resistance,intensif
9,quinquennat,immigration,quotidien,berger,insoumis,lobby,haine,raciste,cannes,source,fierte,parisien,capitalisme,avancer,liberte,animaliste
10,penitentiaire,vallauris,fragile,interroger,bloquer,industriel,fiscal,revolutionnaire,defense,immunite,bus,salarial,nathalie,liban,covidisme,thouy
11,destin,volonte,2022,dedicace,accumulation,rassembler,heureux,facho,remplacement,elysee,total,gauche,chomage,engager,sacrer,helene
12,attacher,rn,gaulliste,assister,philosophe,energie,convaincre,frerot,merite,2021,navigo,socialiste,profit,numerique,courage,abattoir
13,fraternite,priver,dirigeant,douloureux,alimentaire,ecolo,industrie,ouvrier,immigration,poutine,baisse,sondage,camp,proteger,covidist,chasseur
14,poesie,victoire,propagande,marcher,zoonose,nucleaire,sincerite,space,melenchon,n,demande,rabault,revoir,vacciner,pfizer,guillaume
15,generation,marine,gaulle,retrouver,note,exiger,vaccin,imperialisme,ecole,precision,metro,ceremonie,mercier,relance,pass,urgent
16,sain,mondialisme,eolienne,sud,humain,paix,alairlibre,droite,fidele,adherent,immigration,voix,meeting,soin,folie,video
17,rencontre,francais,liberte,artisan,60,dereglement,invite,rentrer,enfer,le,de,isf,blog,direct,lci,corrida
18,imperfection,tribune,laxisme,rencontre,partager,renouvelable,pauvrete,fac,csg,emission,mere,femme,billet,effort,magnifique,jauge
19,cted,jeunesse,sanitaire,commune,commun,nom,garantir,considerer,site,que,desormais,coumet,exploitation,beyrouth,vite,vraiment
20,efficace,accueil,journee,resistons,payer,vogel,gauche,bourgeoisie,figaro,expliquer,sanction,encommun,societe,terrorisme,youtube,auteur
21,rendez,19h10,avril,financiarisation,rupture,cage,facture,bouhafs,pecresse,gaulle,exemplaire,edition,riche,etendre,verite,eleveur
22,voix,massif,raisonnable,passage,falloir,interdiction,republique,traore,noel,27,figaro,permettre,actionnaire,europe,macron,interdiction
23,alimentation,preserver,eolien,depute,appliquer,jadot,relatif,institutionnel,internet,il,reconnaissance,bel,classe,resultat,pr,humeur
24,defaire,mer,sacrifier,inacceptable,meeting,agriculture,soutien,500,politicien,traite,inauguration,suffire,priver,we,fou,eolas
25,expression,national,insecurite,6000,cadre,isf,rssl,participez,civilisation,psssssssssssssccccchhhhhhttt,islamiste,social,imperialiste,afrique,dose,veterinaire
26,ethique,souvenir,fraude,prise,altermondialist,regrette,hommage,collegue,innombrable,22,aggravant,democrate,trust,aider,tyrannie,montiel
27,montreal,taxer,rmc,reussir,convaincre,institution,emploi,thread,luc,opposer,minute,entierement,pauvre,19,masque,pluralisme
28,recidive,delinquant,ose,lcp,2022,cesse,climat,salut,marseillais,entretien,hamida,inauguration,patron,europeen,peuple,refuge
29,personnel,abandonner,garcon,loi,qu,marque,humain,systeme,7h30,castex,chretien,matin,mort,mission,reprendre,pa
30,republique,1000,resume,territoire,cancel,processus,ben,abdallah,encourager,24,voyageur,quinquennat,lutte,reussir,19h,excellent
31,accomplir,uvre,vaccination,minuit,creolisation,hauteur,proximite,bordeaux,francais,facon,incarner,indemnite,augmentation,biodiversite,apartheid,senatrice
32,favoriser,aujourdhui,sens,pousser,proposition,dimanche,evasion,reactionnaire,reel,oligarchie,islamisme,confiance,salarie,acte,vraiment,ernst
33,modeste,incitation,recuperer,publier,cesse,agricole,fr,transport,donne,coincidence,paris,ecologique,repression,brexit,10h40,casper
34,8h30,electeur,contamination,integralite,hexagone,radicalite,mans,payer,chateaudun,risque,pensee,samuel,demolition,distance,vaccine,federici
35,gt,territoire,francais,destin,domicile,fatalite,diviser,brav,parite,lire,reaction,espagnol,suppression,sahel,cortege,hilt
36,exigence,culte,vaccinal,reunion,exclusif,chasse,provocation,mort,revenir,facheuse,retablissement,tribun,terrorisme,simplement,medecin,gouverner
37,procedure,arriver,gravite,informe,aligner,formidable,camarade,tpmp,drancy,penser,ordre,transformer,capital,citoyenne,frexit,bouger
38,citoyen,promet,test,marquer,pesticide,central,brevet,majorite,charles,degre,roselyne,olivier,oppression,adresse,vendredi,cause
39,inscrire,natalite,patriote,hier,elire,intervention,importation,arabe,kelly,lien,temoignage,jacques,ajoute,terroir,cardiaque,influer
40,aime,tradition,gueule,rmc,eau,drogue,acheter,by,nimes,cardiaque,objectif,precieux,greve,geste,sensible,9h
41,partage,qu,folie,app,imprimerie,davantage,1200,classe,preferer,dictature,norme,garrigos,impossible,poursuivre,pompier,intimidation
42,m,dussausaye,fete,concitoyen,gouverner,elevage,bcp,hahaha,demain,analyse,battre,sante,revolution,porter,double,tres
43,serieux,souffrance,taxe,debroussailleuse,produire,police,baisser,silence,strike,eelv,scandalisee,quotidiennement,live,concret,21h,fusi
44,visite,total,defaillance,faille,parlement,animal,banque,sketch,dizaine,bienvenu,circonstance,reaffirmer,reportage,covid,enorme,parrainer
45,majeur,tva,democratie,photo,zemmourisme,amp,30,important,tombe,et,fet,participant,gm,epreuve,oligarchie,soto
46,republicain,insecurite,proposition,syrie,defense,russie,pr,militant,bizarre,3,rapidement,promotion,politicien,agir,quitter,alimentation
47,enjeu,secteur,republicain,reflexion,million,petition,dividende,dizaine,monsieur,age,vomir,vote,revolter,heros,legion,etranger
48,etudiant,gouvernement,gouvernement,remonter,courant,bechieau,cheque,amener,islamique,confirme,alliance,invite,solidarite,schengen,275,denormandie
49,defi,confronter,refuser,lasalle,idee,autour,31,cheminot,casse,2,prime,programme,salaire,unir,3e,empare
50,cc,vision,plancher,elire,nausee,nauseabond,antisemite,argenteuil,elite,opposition,violence,jouer,maitre,changement,raoult,tragique
51,reforme,baisser,laxiste,enfance,statut,parlement,solidarite,photo,actif,21,solution,perpignan,macron,ouvrir,vacciner,96
52,institution,mercredi,controler,foi,milieu,transformation,vaccination,pcr,communisme,ikea,maintenir,origine,aubervilliers,reconnaitre,honte,gavage
53,gauche,henin,pyrennee,quebec,formation,technologie,delocaliser,sorbonne,sru,placer,rame,seine,interet,regardons,tv,fin
54,discrimination,different,quitter,3em,direct,evasas,besoin,bcp,michel,19,julien,republicain,contestation,surmonter,danemark,2016
55,aj,nombre,direct,motion,intention,produit,etudiant,masse,migratoire,tres,ouvrir,admiration,ordre,engagement,prevoir,balle
56,reindustrialisation,criminel,autorite,exprime,constitution,gestion,auj,arnaud,survie,inattendu,lycee,passe,violence,lacher,allez,lanceur
57,garantie,apporter,depit,ardenne,emission,poutine,fusion,prenom,audiovisuel,format,page,ouighour,migrant,2017,duplex,majorite
58,violer,blague,service,antoine,insoumise,test,conduire,police,valerie,declarer,autrichien,logement,communique,akirafairy,foule,utiliser
59,marne,reserver,referendum,mediatique,n,courageux,guadeloupeen,media,pretendre,etat,chaleureux,jeunesse,hollande,talent,14h,association
60,amerique,travaille,proposer,molac,sommet,bretagne,demander,100000,lr,commission,anniversaire,klarsfeld,milliardaire,josephine,17h30,user
61,erreur,comportement,offre,redonner,melenchon,electricite,pandemie,previsible,ecouter,a,tete,concret,colere,anthony,point,vegetal
62,itw,numero,chance,interpeller,ecologique,pleniere,accessible,montage,medecin,manifestation,elysee,modele,continue,egypte,trahison,cruaute
63,racisme,rembourser,liberer,reconnaitre,fusee,sexiste,respecter,drapeau,ideologie,vaccine,banlieue,fier,chaos,quoiqu,19h20,massacre
64,civique,lettre,cas,fond,usine,twitch,exiger,raffineur,revoir,4,defi,chemin,12h20,reprise,20h10,mme
65,culturel,delit,point,disponible,kiosque,tard,special,quartier,armenie,7,donner,serge,hopital,vie,2021,confondatrice
66,moderne,demetropolisation,exclure,emmanuelli,diminuer,g,chateaubriant,fevrier,bureaucratie,legislatif,marc,cours,pyrenees,douleur,torchon,torture
67,rappel,liberte,macronie,attitude,interet,gagner,vie,extreme,familial,arnm,adieu,climatique,49,climat,lundi,conseil
68,tribune,ensauvagement,urgence,vanik,decembre,esperance,cgt,chiffre,realite,asterix,neerlandais,collectivite,apres,forum,manif,manif
69,aurore,annonce,paysage,paysan,publier,huawei,multinationale,explique,vouloir,article,exposition,arrondissement,puissance,lunaire,vaccinal,pg
70,nuit,matin,heros,espoir,assemblee,toucher,lille,ouighour,providentiel,t,libres,loger,misere,europeens,10h35,erratum
71,stature,economique,sincere,journee,centrale,blesser,st,subir,20h02,venir,bel,chauffage,pluralisme,creneau,sortir,manger
72,cesaire,contestable,prix,civil,guyanais,alliance,debattre,fachonews,ville,debut,guadeloupe,juif,interview,sommet,plateau,racine
73,affaire,referendum,examen,inscription,retablir,sante,coeur,karma,heure,on,spectacle,festival,installation,tech,rappeler,regulation
74,benevole,8h20,non,seance,extreme,decennie,traite,populisme,supprimer,aussitot,ecologie,personnage,barbele,cooperation,18h20,remercier
75,guyane,capable,collectivite,marche,information,loire,profiter,manger,risquer,32,violent,knoll,population,millier,restaurateur,11h
76,mineur,independance,delinquance,chance,sonne,biodiversite,travailler,secretaire,telegram,destruction,reanimation,cur,education,mai,fiche,protection
77,responsabilite,delinquance,des,chemin,relocaliser,18h,condamner,madame,agresser,deces,appeler,fermement,preuve,flamme,acclamations,emission
78,fiscal,12h,utilite,occasion,siege,humaniste,paix,palestinien,competence,gvt,accueillir,professeure,socialiste,quotidien,non,vache
79,rejet,legendaire,ivermectine,paradigme,culture,divergence,professeur,tommy,retrouvaille,6,joyeux,novembre,fete,rejouir,trump,surveillance
80,victime,serieux,tourne,financement,gabriel,mariniere,travailleuse,noir,desaccord,reveler,larcher,adopter,commande,concitoyen,bravo,bulletin
81,largement,projet,preoccupation,peuple,800,lecture,valenciennes,montebourg,favoriser,rediffuser,pret,unir,reactionnaire,polynesie,2020,tuerie
82,democratique,asile,emissaire,frexit,pandemie,ceccaldi,palestinien,musulman,chaine,type,tram,corvee,patrimoine,solidaire,europeiste,poursuivre
83,confusion,presque,livret,henri,delegation,ordonnance,cote,varlet17,regner,faux,juif,explique,cle,taxe,ca,article
84,gagner,nations,professeur,cheval,gros,gouvernement,inegalite,voice,musulman,lutter,compatriote,26,poursuivre,emploi,corruption,boite
85,crime,voile,bouc,mats,proposer,paquet,souffrir,2018,z,en,choquant,circonscription,pres,harcelement,routier,con
86,retrouver,impot,emmanuel,trois,changement,refugie,vacciner,candidature,village,monde,conviction,taieb,emploi,municipal,darmanin,arrete
87,principe,islamisme,sauver,montagne,larive,brevet,travailleur,hesiter,villepinte,pluralist,deplacement,hate,repartir,are,humanite,week
88,thermique,transmettre,desormais,ichere,universalisme,democratie,yc,centaine,extra,pour,transport,20h30,controler,projeter,cesse,end
89,l,20,micro,lourdios,securite,tricolore,gastronomie,frapper,vous,programme,gaullien,planete,imposer,mobiliser,libre,bravo
90,encadrement,18h05,reduction,impacter,technique,climaticid,capitalisme,adama,ferme,biden,fille,territorial,barbarie,jamais,soignant,actuellement
91,magistrat,president,representer,ambulancier,regler,europe,est,greviste,souvenir,injection,menace,achat,million,plastique,scandale,necessite
92,delocalisable,facebook,exceptionnel,livre,attal,acteur,nord,j,drole,deuxieme,voisin,ami,politiquesur,deal,commencer,planete
93,medicamenteux,sure,ordre,langue,lill,famille,18h10,financer,envier,contemporain,depenser,laicite,benite,batir,demission,re
94,solide,l,commission,chaleureux,infame,acceder,manque,gilet,sologne,2017,habitant,vous,desarmer,maillet,monde,cours
95,saisir,quartier,habiter,40,discuter,pic,apporte,galerer,8h20,polio,laupretre,mireille,verre,gendarme,confinement,sanglier
96,stasi,exposer,unanimisme,30,cruel,construire,apprendre,profond,endemique,de,recette,13,1917,monnet,annoncer,demeter
97,croyance,diplomatie,caillebotte,athenes,moment,repowering,inviter,chier,redevance,agir,magique,sereinement,reporter,banco,controler,extraire
98,forum,patriote,discipline,infiniment,trouver,investissement,usa,jordan,violent,excuse,vivant,falsifier,circulation,ceder,maree,souvenir
99,construction,entrepreneur,titre,heureux,diversion,aver,assassinat,tweet,bruxelle,lancer,amical,vichy,intact,terroriste,tres,300
